energy_per_100,water_use_product
744.6,10.65
23.3,369.8
14.9,297.83630822812364
36.9,14.3
179.79999999999998,883.1526189467737
14.9,297.83630822812364
135.0,431.73991403823817
23.3,369.8
334.2,6.4
706.4,134.49058877298327
587.3,628.2
221.4,317.15
253.1,1161.5666666666664
112.4,1029.0200000000002
87.1,251.05573113385225
405.0,28.400000000099293
179.79999999999998,883.1526189467737
415.8,5605.199999999817
46.0,156.33680555555554
147.79999999999998,521.4399784339641
73.5,33.913357609602336
101.9,244.65478650155944
133.2,514.1799722750908
50.1,29.251295962279457
132.0,707.3273761169781
257.7,972.2666666666664
112.4,1029.0200000000002
114.7,375.5730716641197
296.3,4426.648149794429
184.3,3691.3
264.0,1511.85
285.1,319.81748954377366
99.1,577.3575804507218
131.4,533.1328789432414
52.1,215.69999999959768
141.20000000000002,781.2375
145.6,114.68565768955672
20.9,369.8
106.2,222.94505572927196
234.0,3699.705295724003
133.2,671.8720880982636
268.5,2070.9
227.8,3542.125255350574
314.0,1431.6557758122422
454.2,628.2
742.8,10.65
87.5,251.5942337172622
225.2,1148.3154315973163
142.7,407.7000000000001
53.7,28.4
101.4,584.4817398518016
53.3,215.7
90.8,15.187405917824227
515.8,237.7
118.2,610.6007341521954
47.2,513.3490304709142
270.9,599.1375
204.9,702.25
415.4,5605.2
154.10000000000002,764.8355216716081
115.5,379.55441164642485
185.0,910.6190879570802
334.3,1549.7858528386976
311.3,536.48
158.39999999999998,396.6
49.3,215.7
123.6,625.3903713115911
107.5,61.09746495347081
52.5,28.4
111.3,284.7057075755075
112.20000000000002,578.9086545249189
459.2000000000001,1795.8
697.0,141.02945423132545
500.8,1795.8
285.0,1562.6124999999995
108.4,354.3392584251588
206.9,805.0774525385132
299.1,1464.1740787801778
355.2,84.91666666666663
17.9,354.18371789290387
17.9,354.18371789290387
183.4,202.086459881068
168.89999999999998,227.15
107.9,61.33336250155372
107.0,318.3707999948848
50.900000000000006,215.7000000000001
197.9,613.1263572749938
197.2,1021.695098835635
596.4,211.044117657048
334.4,5194.233990335518
279.7,1472.948675445478
323.79999999999995,1571.927149512918
41.6,452.4432132963989
83.0,194.5956689168418
309.0,1500.0917690244246
96.6,313.19874527467226
52.1,30.43078370269395
108.7,249.1247583660948
314.1,254.42356368796837
113.2,1616.2400000000002
236.4,3740.81313234316
80.10000000000001,59.1
261.1,2070.9
134.20000000000002,543.5714285714286
301.2,1357.4937422389676
41.1,133.22614734299515
249.3,3486.402445822405
89.3,36.00330022901359
244.6,1606.5636738611415
396.9,577.7
33.3,60.00332109448514
53.900000000000006,14.3
106.9,801.3
57.0,16.305640243902438
41.9,518.15
62.2,159.650546322521
29.6,17.456418558134512
186.8,586.584090726293
228.3,586.7092405261224
237.4,1609.7054336795052
125.4,2.65247857772083
171.7,1381.737773922194
413.0,290.76666666666665
166.0,402.3894468198227
